architecture_layers,condition,seed,measured_layer,scope,component,head,ood_accuracy_mean,identity_error,transport_error,holonomy_error,holonomy_rotation_error,holonomy_linear_action_error,holonomy_systematic_error,holonomy_dispersion_error,holonomy_edge_accumulation_ratio,path_agreement_error,path_endpoint_error,activation_variance,edge_improvement_over_identity,supported
2,low_diversity,1,2,cls,value,all,0.6355,1.0271058098069743,0.7519482379461734,0.41955961049969126,1.6936161638862208,0.4836348997346871,0.02819763966412707,0.3913619728250937,0.2218577998053777,0.21750007509945857,0.9645642122951102,0.06698479198596695,0.26789603294378384,True
2,low_diversity,1,2,token_mean,value,all,0.6355,0.18627471328811415,0.057234329882976345,0.03207311914480712,1.261341643614431,0.032438768168125735,0.0015156722987409341,0.03055744618177414,0.24802155108903198,0.02848042687082167,0.08862272409201725,0.012507295955649832,0.6927423541677873,True
2,low_diversity,2,1,cls,query,all,0.6285000000000001,0.0,0.0,0.0,1.9400883040705437,1.2542949517829614,0.0,0.0,0.0,0.0,0.0,2.6610067053885316e-11,nan,False
2,low_diversity,2,1,token_mean,query,all,0.6285000000000001,0.2168055099830263,0.04821546508693811,0.020504198876422887,1.262379613946785,0.020930136320576952,0.0009403376673369414,0.019563861106607048,0.1941195287773744,0.026930832431494783,0.07799969873627542,0.010622375306080688,0.777609595389375,True
2,low_diversity,2,1,cls,key,all,0.6285000000000001,0.0,0.0,0.0,1.9574128760327971,1.2897958765731872,0.0,0.0,0.0,0.0,0.0,6.249069325450521e-12,nan,False
2,low_diversity,2,1,token_mean,key,all,0.6285000000000001,0.17741366818047483,0.044311163242255626,0.019154676946932854,1.2766646104368709,0.019358176582765115,0.0008025163961891932,0.01835216023027897,0.19236006976008893,0.025557558667326282,0.07356858073272894,0.011517689774998209,0.7502381654316514,True
2,low_diversity,2,1,cls,value,all,0.6285000000000001,0.0,0.0,0.0,1.9190713839050124,1.1629653683940686,0.0,0.0,0.0,0.0,0.0,6.099106384080147e-12,nan,False
2,low_diversity,2,1,token_mean,value,all,0.6285000000000001,0.17425405830913498,0.04455670868095489,0.01841658247094334,1.2712941531543178,0.01862799284572107,0.000772538248301399,0.01764404437166046,0.18190028545702394,0.024296463599289803,0.07173480850413645,0.0112664022652263,0.744300310057002,True
2,low_diversity,2,2,cls,query,all,0.6285000000000001,1.1182847072973479,0.8467573672406885,0.6895550082803518,1.7260205175592462,0.7613536962058501,0.02422118711877953,0.6653338237242266,0.2836793055383048,0.3924274572910469,1.127183424429201,0.12552125819704749,0.24280698670455947,True
2,low_diversity,2,2,token_mean,query,all,0.6285000000000001,0.20090419054086614,0.06686346885828374,0.044814810286262066,1.2973688757359318,0.04540283422625133,0.0016908567472869022,0.04312395575371655,0.27341720632473393,0.03814822287080482,0.1010508240455484,0.010995472019368952,0.6671872862468592,True
2,low_diversity,2,2,cls,key,all,0.6285000000000001,1.120792853124813,0.8402810714778055,0.6858074763303574,1.7434727217471517,0.7633249194138351,0.023218853145160458,0.6625886207277124,0.28366454590179085,0.37930067741666496,1.1157933500833888,0.10438844426111742,0.25027977370209853,True
2,low_diversity,2,2,token_mean,key,all,0.6285000000000001,0.1816285900850174,0.06175045352032141,0.037360172164295366,1.2953708092559735,0.03765377797112743,0.0014560240881771526,0.035904147238893944,0.2551271342717873,0.032983696580252665,0.09171785603197824,0.01304864464327693,0.6600179878541312,True
2,low_diversity,2,2,cls,value,all,0.6285000000000001,1.0934326048284884,0.8756460910359928,0.6823744665637266,1.7405170124274363,0.7479028783107308,0.025076625403016806,0.6572978333993391,0.2745382706711193,0.40962337115108144,1.1696446298762142,0.10741241073066538,0.19917689744276168,True
2,low_diversity,2,2,token_mean,value,all,0.6285000000000001,0.16857333233851754,0.06447271999432365,0.037991002384689734,1.2897963326214694,0.038219424659737475,0.0015586578255434606,0.03643234378912232,0.2522429704376603,0.03026610726777687,0.09272508878816581,0.012344239829954777,0.6175390312338733,True
4,higher_diversity,0,1,cls,query,all,0.6625000000000001,0.0,0.0,0.0,1.8908632556456404,1.2709041137027641,0.0,0.0,0.0,0.0,0.0,2.1166057543017562e-11,nan,False
4,higher_diversity,0,1,token_mean,query,all,0.6625000000000001,0.17520243032354205,0.04166878508829636,0.014837929448531356,1.2780139870392992,0.015069393104277557,0.0008023061335817064,0.01403562324544923,0.16738315343853724,0.018784266543444967,0.06563887217418822,0.019032752310687847,0.7621677678137933,True
