architecture_layers,condition,seed,train_size,rewrite,count,identity_error,transport_error,cka,activation_variance
2,higher_diversity,2,12000,majority_duality,96,1.982954740524292,1.1711796522140503,0.16759975254535675,0.43411269783973694
2,higher_diversity,2,12000,majority_duality_inverse,96,2.048809289932251,1.175958514213562,0.2278677076101303,0.41708502173423767
2,higher_diversity,2,12000,swap_exact1_12,96,0.8847597241401672,0.9588743448257446,0.36951538920402527,0.1508922576904297
2,higher_diversity,2,12000,swap_exact1_23,96,0.9022409319877625,1.0393787622451782,0.398236483335495,0.18133385479450226
4,low_diversity,0,512,commute_and,96,0.9460453391075134,0.9603493213653564,0.31246086955070496,0.7813258171081543
4,low_diversity,0,512,double_negation_expand,96,2.2976696491241455,1.5917421579360962,0.049965083599090576,0.9804967045783997
4,low_diversity,0,512,double_negation_reduce,96,2.0394816398620605,1.805702567100525,0.013315252959728241,0.9962791800498962
4,low_diversity,0,512,commute_and_under_not,96,1.8457036018371582,1.8591868877410889,0.018044866621494293,0.26921045780181885
4,low_diversity,0,512,demorgan_and,96,2.957441806793213,0.6947952508926392,0.038819681853055954,0.9765439033508301
4,low_diversity,0,512,commute_or,96,1.4375015497207642,1.6332975625991821,0.0658494234085083,0.3537149429321289
4,low_diversity,0,512,demorgan_and_inverse,96,3.2009453773498535,0.5663871765136719,0.028935590758919716,0.9885757565498352
4,low_diversity,0,512,commute_or_under_not,96,1.4728167057037354,1.5085525512695312,0.06592701375484467,0.3917740285396576
4,low_diversity,0,512,demorgan_or,96,1.641850233078003,1.1735388040542603,0.13282997906208038,0.7793920636177063
4,low_diversity,0,512,demorgan_or_inverse,96,1.9527974128723145,1.2628360986709595,0.05866679176688194,0.8341267108917236
4,low_diversity,0,512,associate_and_right,96,0.4855060577392578,0.4963233172893524,0.5929594039916992,0.5349634289741516
4,low_diversity,0,512,associate_and_left,96,0.6554558873176575,0.6666510701179504,0.44993144273757935,0.5673827528953552
4,low_diversity,0,512,swap_and3_12,96,1.4823287725448608,1.6169664859771729,0.050111040472984314,0.09837495535612106
4,low_diversity,0,512,swap_and3_23,96,1.2281534671783447,1.6528620719909668,0.13099627196788788,0.2532055974006653
